2025-08-07T14:27:41.491+0800	DEBUG	runtime/asm_amd64.s:1700	成功解析事件数组	{"eventCount": 0}
2025-08-07T14:27:41.491+0800	DEBUG	runtime/asm_amd64.s:1700	本轮事件处理完成，准备进入下一轮
2025-08-07T14:27:41.491+0800	DEBUG	runtime/asm_amd64.s:1700	准备请求 Syncthing 事件	{"lastEventID": 48}
2025-08-07T14:27:41.491+0800	DEBUG	runtime/asm_amd64.s:1700	开始请求 Syncthing 事件	{"url": "http://127.0.0.1:8384/rest/events?since=48&timeout=30"}
2025-08-07T14:27:41.491+0800	DEBUG	runtime/asm_amd64.s:1700	成功连接 Syncthing 事件接口	{"url": "http://127.0.0.1:8384/rest/events?since=48&timeout=30"}
2025-08-07T14:27:50.394+0800	DEBUG	runtime/asm_amd64.s:1700	成功读取事件响应	{"bodyLen": 433}
2025-08-07T14:27:50.394+0800	DEBUG	runtime/asm_amd64.s:1700	成功解析事件数组	{"eventCount": 1}
2025-08-07T14:27:50.397+0800	INFO	runtime/asm_amd64.s:1700	同步设备(DeviceDiscovered)	{"deviceId": "TORCHXX-TFQ3PVU-7TPWPDP-HBGVKUC-CNHI43Z-XTUQCI2-5HC7UIJ-5NDEDAP", "lanIp": "192.168.2.33"}
2025-08-07T14:27:50.397+0800	DEBUG	runtime/asm_amd64.s:1700	本轮事件处理完成，准备进入下一轮
2025-08-07T14:27:50.397+0800	DEBUG	runtime/asm_amd64.s:1700	准备请求 Syncthing 事件	{"lastEventID": 49}
2025-08-07T14:27:50.397+0800	DEBUG	runtime/asm_amd64.s:1700	开始请求 Syncthing 事件	{"url": "http://127.0.0.1:8384/rest/events?since=49&timeout=30"}
2025-08-07T14:27:50.398+0800	DEBUG	runtime/asm_amd64.s:1700	成功连接 Syncthing 事件接口	{"url": "http://127.0.0.1:8384/rest/events?since=49&timeout=30"}
2025-08-07T14:28:20.398+0800	DEBUG	runtime/asm_amd64.s:1700	成功读取事件响应	{"bodyLen": 3}
2025-08-07T14:28:20.398+0800	DEBUG	runtime/asm_amd64.s:1700	成功解析事件数组	{"eventCount": 0}
2025-08-07T14:28:20.398+0800	DEBUG	runtime/asm_amd64.s:1700	本轮事件处理完成，准备进入下一轮
2025-08-07T14:28:20.398+0800	DEBUG	runtime/asm_amd64.s:1700	准备请求 Syncthing 事件	{"lastEventID": 49}
2025-08-07T14:28:20.398+0800	DEBUG	runtime/asm_amd64.s:1700	开始请求 Syncthing 事件	{"url": "http://127.0.0.1:8384/rest/events?since=49&timeout=30"}
2025-08-07T14:28:20.398+0800	DEBUG	runtime/asm_amd64.s:1700	成功连接 Syncthing 事件接口	{"url": "http://127.0.0.1:8384/rest/events?since=49&timeout=30"}
2025-08-07T14:28:50.399+0800	DEBUG	runtime/asm_amd64.s:1700	成功读取事件响应	{"bodyLen": 3}
2025-08-07T14:28:50.399+0800	DEBUG	runtime/asm_amd64.s:1700	成功解析事件数组	{"eventCount": 0}
2025-08-07T14:28:50.399+0800	DEBUG	runtime/asm_amd64.s:1700	本轮事件处理完成，准备进入下一轮
2025-08-07T14:28:50.399+0800	DEBUG	runtime/asm_amd64.s:1700	准备请求 Syncthing 事件	{"lastEventID": 49}
